Date,Open,High,Low,Close,Adj Close,Volume
2023-08-14,183.837006,184.434006,183.455994,183.837006,183.837006,0
2023-08-15,184.449997,185.291000,184.354004,184.449997,184.449997,0
2023-08-16,184.929001,186.022003,184.679993,184.929001,184.929001,0
2023-08-17,186.227005,186.468994,185.789993,186.227005,186.227005,0
2023-08-18,185.744995,185.869003,184.567993,185.744995,185.744995,0
2023-08-21,185.135941,186.356003,184.880997,185.135941,185.135941,0
2023-08-22,186.598999,186.748993,185.570007,186.598999,186.598999,0
2023-08-23,185.572998,185.916000,183.397995,185.572998,185.572998,0
2023-08-24,184.022003,184.738007,184.000000,184.022003,184.022003,0
2023-08-25,183.929001,184.352005,183.391006,183.929001,183.929001,0
2023-08-28,184.462997,184.632004,184.179993,184.462997,184.462997,0
2023-08-29,184.695999,185.246994,184.104996,184.695999,184.695999,0
2023-08-30,184.468994,185.722000,184.408997,184.468994,184.468994,0
2023-08-31,185.694000,185.796997,184.403625,185.694000,185.694000,0
2023-09-01,184.332001,184.539001,183.539001,184.332001,184.332001,0
2023-09-04,183.880005,185.067993,183.875000,183.880005,183.880005,0
2023-09-05,184.929993,185.759995,184.072006,184.929993,184.929993,0
2023-09-06,185.354996,185.589996,184.281006,185.354996,185.354996,0
2023-09-07,184.608002,184.748993,183.386002,184.608002,184.608002,0
2023-09-08,183.779999,184.449005,183.175995,183.779999,183.779999,0
2023-09-11,183.714996,183.893997,182.669998,183.714996,183.714996,0
2023-09-12,183.451004,183.863007,182.977005,183.451004,183.451004,0
2023-09-13,183.798996,184.360992,183.205002,183.798996,183.798996,0
2023-09-14,184.011002,184.056000,182.559998,184.011002,184.011002,0
2023-09-15,182.873993,183.895996,182.770004,182.873993,182.873993,0
2023-09-18,183.307999,183.332001,182.740005,183.307999,183.307999,0
2023-09-19,182.770004,183.468994,182.731995,182.770004,182.770004,0
2023-09-20,183.089005,183.341003,182.492996,183.089005,183.089005,0
2023-09-21,182.834000,182.919006,181.087997,182.834000,182.834000,0
2023-09-22,181.498993,182.287994,181.195999,181.498993,181.498993,0
2023-09-25,181.692001,181.951004,181.410004,181.692001,181.692001,0
2023-09-26,181.729996,181.794006,181.061005,181.729996,181.729996,0
2023-09-27,181.020004,181.535004,180.882996,181.020004,181.020004,0
2023-09-28,181.406998,182.395996,181.063004,181.406998,181.406998,0
2023-09-29,182.248001,182.990997,181.899994,182.248001,182.248001,0
2023-10-02,182.309998,182.798004,181.537003,182.309998,182.309998,0
2023-10-03,181.173004,181.354996,179.664993,181.173004,181.173004,0
2023-10-04,180.182007,181.240997,179.589996,180.182007,180.182007,0
2023-10-05,180.789001,180.927994,180.320007,180.789001,180.789001,0
2023-10-06,180.921997,182.746994,180.835999,180.921997,180.921997,0
2023-10-09,182.274002,182.296005,181.266006,182.274002,182.274002,0
2023-10-10,181.682999,182.766006,181.565002,181.682999,181.682999,0
2023-10-11,182.636002,183.737000,182.498001,182.636002,182.636002,0
2023-10-12,183.533997,183.800003,182.761993,183.533997,183.533997,0
2023-10-13,182.470001,182.899002,181.509995,182.470001,182.470001,0
2023-10-16,181.759995,182.479996,181.539993,181.759995,181.759995,0
2023-10-17,182.656006,182.716995,181.705002,182.656006,182.656006,0
2023-10-18,182.360001,182.804001,181.873993,182.360001,182.360001,0
2023-10-19,181.787003,182.134995,181.190002,181.787003,181.787003,0
2023-10-20,181.768005,182.283997,181.320007,181.768005,181.768005,0
2023-10-23,182.296005,183.285995,182.074005,182.296005,182.296005,0
2023-10-24,183.447998,183.731003,182.261002,183.447998,183.447998,0
2023-10-25,182.231003,182.436005,181.630005,182.231003,182.231003,0
2023-10-26,181.649994,182.350006,181.421997,181.649994,181.649994,0
2023-10-27,182.472000,182.494995,181.548996,182.472000,182.472000,0
2023-10-30,181.369003,181.860001,180.787994,181.369003,181.369003,0
2023-10-31,181.343994,183.820007,181.339996,181.382996,181.382996,0
2023-11-01,183.835007,183.977997,183.000000,183.835007,183.835007,0
2023-11-02,183.406998,183.679001,182.809998,183.406998,183.406998,0
2023-11-03,183.438995,184.792007,183.264999,183.438995,183.438995,0
2023-11-06,184.893997,185.945007,184.880005,184.893997,184.893997,0
2023-11-07,185.141998,185.445007,184.658005,185.141998,185.141998,0
2023-11-08,184.839005,185.494003,184.552994,184.839005,184.839005,0
2023-11-09,185.307007,185.873993,185.134003,185.307007,185.307007,0
2023-11-10,184.867004,185.210007,184.651993,184.867004,184.867004,0
2023-11-13,185.205994,185.953995,185.214005,185.205994,185.205994,0
2023-11-14,186.199997,188.283005,186.089005,186.199997,186.199997,0
2023-11-15,187.998001,188.223999,187.343994,187.998001,187.998001,0
2023-11-16,187.824005,187.899994,186.824997,187.824005,187.824005,0
2023-11-17,187.074997,187.141006,185.330002,187.074997,187.074997,0
2023-11-20,186.727997,186.766006,184.641998,186.727997,186.727997,0
2023-11-21,185.567993,185.619003,184.479996,185.567993,185.567993,0
2023-11-22,185.834000,187.018997,185.733002,185.834000,185.834000,0
2023-11-23,186.662994,187.574997,186.283997,186.662994,186.662994,0
2023-11-24,187.528000,188.656006,187.080002,187.528000,187.528000,0
2023-11-27,188.449005,188.513000,187.600006,188.449005,188.449005,0
2023-11-28,187.542007,187.858002,187.063995,187.542007,187.542007,0
2023-11-29,186.929993,187.505005,186.645004,186.929993,186.929993,0
2023-11-30,186.658997,187.535995,186.255005,186.658997,186.658997,0
2023-12-01,186.927002,187.492996,186.212006,186.927002,186.927002,0
2023-12-04,186.091995,186.311996,185.080002,186.091995,186.091995,0
2023-12-05,186.119995,186.164001,185.080002,186.119995,186.119995,0
2023-12-06,185.356995,185.794998,185.169998,185.356995,185.356995,0
2023-12-07,184.815994,184.809006,180.964996,184.815994,184.815994,0
2023-12-08,181.598999,182.014008,179.565002,181.598999,181.598999,0
2023-12-11,182.007004,184.296005,181.968002,182.007004,182.007004,0
2023-12-12,183.371994,183.423996,182.276001,183.371994,183.371994,0
2023-12-13,182.598007,183.125000,181.710007,182.598007,182.598007,0
2023-12-14,180.210007,180.891998,178.427994,180.210007,180.210007,0
2023-12-15,181.660995,181.695999,179.854996,181.660995,181.660995,0
2023-12-18,180.328995,181.171005,180.199997,180.328995,180.328995,0
2023-12-19,180.544998,184.141006,180.063004,180.544998,180.544998,0
2023-12-20,183.199997,183.304001,181.294006,183.164001,183.164001,0
2023-12-21,181.408997,181.421005,179.798004,181.408997,181.408997,0
2023-12-22,180.113998,181.365997,179.945007,180.113998,180.113998,0
2023-12-25,181.173615,181.232986,180.110001,181.173615,181.173615,0
2023-12-26,180.664001,181.238007,180.494003,180.664001,180.664001,0
2023-12-27,181.263000,182.149002,181.126007,181.263000,181.263000,0
2023-12-28,180.949997,181.365997,179.033005,180.949997,180.949997,0
2023-12-29,180.041000,180.524994,179.330994,180.041000,180.041000,0
2024-01-01,179.388000,179.860001,178.960007,179.388000,179.388000,0
2024-01-02,179.613998,180.617004,178.766006,179.613998,179.613998,0
2024-01-03,179.427002,181.462006,179.186005,179.427002,179.427002,0
2024-01-04,181.203003,183.768005,181.022003,181.203003,181.203003,0
2024-01-05,183.604996,184.294006,183.388000,183.604996,183.604996,0
2024-01-08,184.037994,184.123001,183.013000,184.037994,184.037994,0
2024-01-09,183.789993,183.809998,182.779007,183.789993,183.789993,0
2024-01-10,183.576996,185.496002,183.638000,183.576996,183.576996,0
2024-01-11,185.731003,186.110992,185.281998,185.731003,185.731003,0
2024-01-12,185.307007,185.636993,184.473999,185.307007,185.307007,0
2024-01-15,184.856995,185.709000,184.779999,184.856995,184.856995,0
2024-01-16,185.367004,186.166000,184.990997,185.367004,185.367004,0
2024-01-17,186.076996,188.095993,185.871994,186.076996,186.076996,0
2024-01-18,187.742004,187.959000,187.320007,187.742004,187.742004,0
2024-01-19,188.223007,188.889999,187.414993,188.223007,188.223007,0
2024-01-22,188.102997,188.369003,187.755005,188.102997,188.102997,0
2024-01-23,188.231003,188.889999,187.406998,188.231003,188.231003,0
2024-01-24,188.126007,188.455002,187.143005,188.126007,188.126007,0
2024-01-25,187.688004,188.169998,187.177002,187.688004,187.688004,0
2024-01-26,187.707001,188.542999,187.334000,187.707001,187.707001,0
2024-01-29,188.080002,188.279999,187.113007,188.080002,188.080002,0
2024-01-30,187.462006,187.451004,186.362000,187.462006,187.462006,0
2024-01-31,187.078995,187.567993,185.996002,187.078995,187.078995,0
2024-02-01,186.345993,186.557999,185.238998,186.345993,186.345993,0
2024-02-02,186.636993,187.710007,186.410004,186.636993,186.636993,0
2024-02-05,187.427002,187.570007,186.188004,187.427002,187.427002,0
2024-02-06,186.300995,186.759003,186.175995,186.300995,186.300995,0
2024-02-07,186.279999,187.251999,186.250000,186.279999,186.279999,0
2024-02-08,186.983994,188.429001,186.865005,186.983994,186.983994,0
2024-02-09,188.354004,188.843994,188.255005,188.354004,188.354004,0
2024-02-12,188.492004,188.703003,187.867996,188.492004,188.492004,0
2024-02-13,188.630997,189.988007,188.429993,188.632996,188.632996,0
2024-02-14,189.729004,189.815994,188.755005,189.729004,189.729004,0
2024-02-15,189.195007,189.212006,188.139999,189.195007,189.195007,0
2024-02-16,188.891006,189.240997,188.850006,188.891006,188.891006,0
2024-02-19,189.334000,189.389008,188.910004,189.270996,189.270996,0
2024-02-20,189.113998,189.699997,189.057999,189.113998,189.113998,0
2024-02-21,189.309006,189.740997,189.139999,189.309006,189.309006,0
2024-02-22,189.990005,190.811005,189.856995,189.990005,189.990005,0
2024-02-23,190.539001,191.136993,190.386002,190.539001,190.539001,0
2024-02-26,190.681000,191.300003,190.319000,190.707001,190.707001,0
2024-02-27,190.940002,190.966003,190.403000,190.966995,190.966995,0
2024-02-28,190.834000,190.891998,190.274994,190.834000,190.834000,0
2024-02-29,190.750000,190.750000,189.056000,190.669006,190.669006,0
2024-03-01,189.483002,190.373993,189.473007,189.483002,189.483002,0
2024-03-04,190.029999,191.184998,189.787003,190.029999,190.029999,0
2024-03-05,190.932007,191.018997,190.410004,190.932007,190.932007,0
2024-03-06,190.619995,190.675995,189.876007,190.619995,190.619995,0
2024-03-07,190.091003,190.091003,188.231003,190.091003,190.091003,0
2024-03-08,189.464996,189.686996,188.391998,189.464996,189.464996,0
2024-03-11,188.670975,188.962997,187.966003,188.670975,188.670975,0
2024-03-12,188.097000,189.181000,187.990997,188.097000,188.097000,0
2024-03-13,188.871994,189.518005,188.431000,188.871994,188.871994,0
2024-03-14,188.940002,189.505005,188.658005,188.940002,188.940002,0
2024-03-15,188.998993,189.985992,188.597000,188.998993,188.998993,0
2024-03-18,189.630005,190.141998,189.623108,189.630005,189.630005,0
2024-03-19,189.804001,191.645004,189.720001,189.804001,189.804001,0
2024-03-20,192.095993,192.824997,192.052002,192.095993,192.095993,0
2024-03-21,192.936005,193.477005,191.906006,192.936005,192.936005,0
2024-03-22,191.975006,192.182999,190.406006,191.975006,191.975006,0
2024-03-25,190.677719,191.492004,190.600006,190.677719,190.677719,0
2024-03-26,191.283997,191.671005,191.121002,191.283997,191.283997,0
2024-03-27,191.218002,191.610001,190.514008,191.218002,191.218002,0
2024-03-28,190.809998,191.255997,190.565994,190.809998,190.809998,0
2024-03-29,191.153000,191.203003,190.770004,191.153000,191.153000,0
2024-04-01,191.300003,191.332993,190.285004,191.300003,191.300003,0
2024-04-02,190.171997,190.705002,190.072006,190.171997,190.171997,0
2024-04-03,190.580002,191.669998,190.429001,190.580002,190.580002,0
2024-04-04,191.761002,192.237000,191.722000,191.761002,191.761002,0
2024-04-05,191.229996,191.526001,190.695007,191.229996,191.229996,0
2024-04-08,191.500000,192.130997,191.369003,191.500000,191.500000,0
2024-04-09,192.184998,192.822998,192.108994,192.184998,192.184998,0
2024-04-10,192.399994,192.888000,191.671997,192.399994,192.399994,0
2024-04-11,191.740005,192.567001,191.572006,191.740005,191.740005,0
2024-04-12,192.317001,192.380997,190.022995,192.317001,192.317001,0
2024-04-15,191.009995,192.679993,190.888000,191.009995,191.009995,0
2024-04-16,191.929993,192.789001,191.660995,191.929993,191.929993,0
2024-04-17,192.289993,192.830994,192.009003,192.289993,192.289993,0
2024-04-18,192.201996,192.774994,191.906998,192.201996,192.201996,0
2024-04-19,192.270996,192.714005,190.354004,192.270996,192.270996,0
2024-04-22,191.367004,191.684006,190.319000,191.365005,191.365005,0
2024-04-23,191.182999,192.755005,190.835999,191.182999,191.182999,0
2024-04-24,192.695007,192.942993,192.423996,192.695007,192.695007,0
2024-04-25,193.436996,194.937836,193.447006,193.436996,193.436996,0
2024-04-26,194.617004,196.675995,194.406998,194.617004,194.617004,0
2024-04-29,197.910995,200.283005,193.634003,197.910995,197.910995,0
2024-04-30,196.317993,197.352997,196.121994,196.317993,196.317993,0
2024-05-01,196.981995,197.406006,196.570007,196.981995,196.981995,0
2024-05-02,195.203003,195.735001,191.897003,195.203003,195.203003,0
2024-05-03,191.912994,192.518997,191.404999,191.912994,191.912994,0
2024-05-06,192.576004,193.634003,192.440994,192.576004,192.576004,0
2024-05-07,193.716995,194.113007,193.020004,193.716995,193.716995,0
2024-05-08,193.447006,194.391006,193.358994,193.447006,193.447006,0
2024-05-09,194.158997,194.848999,193.914001,194.158997,194.158997,0
2024-05-10,194.623001,195.279007,194.621002,194.623001,194.623001,0
2024-05-13,195.119003,196.190002,194.856003,195.119003,195.119003,0
2024-05-14,196.240005,197.042007,195.744995,196.240005,196.240005,0
2024-05-14,196.134995,197.057007,195.714996,196.888000,196.888000,0
